Redshift   r_mag   g-r_col   g-r_slope   z_mag     r-z_col   r-z_slope
0.100000 16.878000 0.945000 -0.025000 -10.000000 -10.000000 -10.000000
0.110000 17.084000 0.967000 -0.026000 -10.000000 -10.000000 -10.000000
0.120000 17.273000 0.991000 -0.026000 -10.000000 -10.000000 -10.000000
0.130000 17.446000 1.012000 -0.026000 -10.000000 -10.000000 -10.000000
0.140000 17.604000 1.039000 -0.027000 -10.000000 -10.000000 -10.000000
0.150000 17.749000 1.071000 -0.028000 -10.000000 -10.000000 -10.000000
0.160000 17.886000 1.102000 -0.029000 -10.000000 -10.000000 -10.000000
0.170000 18.014000 1.132000 -0.030000 -10.000000 -10.000000 -10.000000
0.180000 18.137000 1.162000 -0.030000 -10.000000 -10.000000 -10.000000
0.190000 18.252000 1.195000 -0.031000 -10.000000 -10.000000 -10.000000
0.200000 18.361000 1.229000 -0.032000 -10.000000 -10.000000 -10.000000
0.210000 18.464000 1.262000 -0.033000 -10.000000 -10.000000 -10.000000
0.220000 18.562000 1.300000 -0.035000 -10.000000 -10.000000 -10.000000
0.230000 18.657000 1.334000 -0.036000 -10.000000 -10.000000 -10.000000
0.240000 18.747000 1.365000 -0.037000 -10.000000 -10.000000 -10.000000
0.250000 18.835000 1.393000 -0.038000 -10.000000 -10.000000 -10.000000
0.260000 18.919000 1.424000 -0.039000 -10.000000 -10.000000 -10.000000
0.270000 18.999000 1.450000 -0.039000 -10.000000 -10.000000 -10.000000
0.280000 19.078000 1.466000 -0.039000 -10.000000 -10.000000 -10.000000
0.290000 19.153000 1.489000 -0.040000 -10.000000 -10.000000 -10.000000
0.300000 19.228000 1.513000 -0.040000 -10.000000 -10.000000 -10.000000
0.310000 19.300000 1.538000 -0.040000 -10.000000 -10.000000 -10.000000
0.320000 19.373000 1.563000 -0.041000 -10.000000 -10.000000 -10.000000
0.330000 19.442000 1.592000 -0.041000 -10.000000 -10.000000 -10.000000
0.340000 19.510000 1.621000 -0.042000 -10.000000 -10.000000 -10.000000
0.350000 19.576000 1.651000 -0.042000 18.790000 0.848000 -0.013000
0.360000 19.639000 1.683000 -0.042000 18.844000 0.857000 -0.013000
0.370000 19.698000 1.719000 -0.043000 18.895000 0.865000 -0.013000
0.380000 19.755000 1.739000 -0.043000 18.944000 0.873000 -0.013000
0.390000 19.809000 1.747000 -0.042000 18.989000 0.882000 -0.013000
0.400000 19.864000 1.754000 -0.041000 19.031000 0.895000 -0.014000
0.410000 19.918000 1.765000 -0.041000 19.071000 0.908000 -0.014000
0.420000 19.972000 1.772000 -0.039000 19.112000 0.922000 -0.014000
0.430000 20.030000 1.769000 -0.038000 19.152000 0.939000 -0.014000
0.440000 20.089000 1.768000 -0.036000 19.192000 0.958000 -0.015000
0.450000 20.148000 1.774000 -0.035000 19.232000 0.978000 -0.015000
0.460000 20.205000 1.777000 -0.034000 19.267000 1.000000 -0.016000
0.470000 20.261000 1.774000 -0.033000 19.302000 1.022000 -0.017000
0.480000 20.317000 1.777000 -0.032000 19.336000 1.045000 -0.017000
0.490000 20.375000 1.780000 -0.032000 19.369000 1.071000 -0.018000
0.500000 20.430000 1.785000 -0.031000 19.402000 1.094000 -0.019000
0.510000 20.485000 1.785000 -0.031000 19.434000 1.118000 -0.019000
0.520000 20.541000 1.785000 -0.030000 19.465000 1.143000 -0.020000
0.530000 20.595000 1.777000 -0.029000 19.496000 1.167000 -0.020000
0.540000 20.647000 1.774000 -0.028000 19.527000 1.188000 -0.020000
0.550000 20.701000 1.779000 -0.028000 19.557000 1.212000 -0.021000
0.560000 20.755000 1.783000 -0.028000 19.588000 1.236000 -0.021000
0.570000 20.808000 1.790000 -0.028000 19.617000 1.261000 -0.022000
0.580000 20.862000 1.791000 -0.028000 19.644000 1.289000 -0.023000
0.590000 20.917000 1.787000 -0.027000 19.670000 1.318000 -0.024000
0.600000 20.968000 1.785000 -0.027000 19.697000 1.344000 -0.024000
0.610000 21.019000 1.781000 -0.027000 19.723000 1.369000 -0.025000
0.620000 21.069000 1.777000 -0.026000 19.751000 1.391000 -0.025000
0.630000 21.116000 1.773000 -0.026000 19.779000 1.411000 -0.025000
0.640000 21.163000 1.779000 -0.027000 19.808000 1.428000 -0.026000
0.650000 21.210000 1.791000 -0.027000 19.838000 1.445000 -0.026000
0.660000 21.255000 1.808000 -0.028000 19.866000 1.462000 -0.026000
0.670000 21.295000 1.832000 -0.030000 19.892000 1.476000 -0.026000
0.680000 21.339000 1.854000 -0.032000 19.917000 1.494000 -0.026000
0.690000 21.385000 1.869000 -0.034000 19.941000 1.515000 -0.026000
0.700000 -10.000000 -10.000000 -10.000000 19.965000 1.535000 -0.026000
